title,medium,faculty,category,topic,year,genres,keywords,directorCreator,country,description,metadataSource,metadataStatus,seasons,runYears,network,MediaType
The Wiz,Film,Michelle Glasby-Millington,Personal Top 10,,1978,Musical; Fantasy; Adventure,Musical; Fantasy; Adventure,Sidney Lumet,,,https://www.wikidata.org/w/index.php?search=The%20Wiz,Director/creator baseline added,,,,Film
Chico to Rita,Film,Michelle Glasby-Millington,Personal Top 10,,2010,Animation; Romance; Music,Animation; Romance; Music,Fernando Trueba; Javier Mariscal; Tono Errando,,,https://www.wikidata.org/w/index.php?search=Chico%20to%20Rita,Director/creator baseline added,,,,Animated Film
Volver,Film,Michelle Glasby-Millington,Personal Top 10,,2006,Comedy drama,Comedy drama,Pedro Almodóvar,,,https://www.wikidata.org/w/index.php?search=Volver,Director/creator baseline added,,,,Film
Volver,Film,Michelle Glasby-Millington,Inspired my work,,2006,Comedy drama,Comedy drama,Pedro Almodóvar,,,https://www.wikidata.org/w/index.php?search=Volver,Director/creator baseline added,,,,Film
Goodfellas,Film,Michelle Glasby-Millington,Personal Top 10,,1990,Crime; Drama; Biography,Crime; Drama; Biography,Martin Scorsese,,,https://www.wikidata.org/w/index.php?search=Goodfellas,Director/creator baseline added,,,,Film
She's Gotta Have It,Film,Michelle Glasby-Millington,Inspired my work,,1986,Comedy drama; Romance,Comedy drama; Romance,Spike Lee,,,https://www.wikidata.org/w/index.php?search=She%27s%20Gotta%20Have%20It,Director/creator baseline added,,,,Film
Clockers,Film,Michelle Glasby-Millington,Inspired my work,,1995,Crime; Drama,Crime; Drama,Spike Lee,,,https://www.wikidata.org/w/index.php?search=Clockers,Director/creator baseline added,,,,Film
A Dry White Season,Film,Michelle Glasby-Millington,Important or Influential,,1989,Drama; Historical,Drama; Historical,Euzhan Palcy,,,https://www.wikidata.org/w/index.php?search=A%20Dry%20White%20Season,Director/creator baseline added,,,,Film
Sinners,Film,Michelle Glasby-Millington,Important or Influential,,2025,Horror; Drama; Music,Horror; Drama; Music,Ryan Coogler,,,https://www.wikidata.org/w/index.php?search=Sinners,Director/creator baseline added,,,,Film
Killer of Sheep,Film,Michelle Glasby-Millington,Important or Influential,,1977,Drama; Independent film,Drama; Independent film,Charles Burnett,,,https://www.wikidata.org/w/index.php?search=Killer%20of%20Sheep,Director/creator baseline added,,,,Film
Daughters of the Dust,Film,Michelle Glasby-Millington,Important or Influential,,1991,Drama; Historical,Drama; Historical,Julie Dash,,,https://www.wikidata.org/w/index.php?search=Daughters%20of%20the%20Dust,Director/creator baseline added,,,,Film
Frankenstein (1931) (and 1930s/40s Universal classic monsters),Film,Rick Worland,Personal Top 10,,1931,Horror; Science fiction; Gothic,Horror; Science fiction; Gothic,James Whale; Tod Browning; Karl Freund; George Waggner; Erle C. Kenton; Robert Siodmak,,,https://www.wikidata.org/w/index.php?search=Frankenstein%20%281931%29%20%28and%201930s/40s%20Universal%20classic%20monsters%29,Director/creator baseline added,,,,Film
Frankenstein (1931) (and 1930s/40s Universal classic monsters),Film,Rick Worland,Inspired my work,,1931,Horror; Science fiction; Gothic,Horror; Science fiction; Gothic,James Whale; Tod Browning; Karl Freund; George Waggner; Erle C. Kenton; Robert Siodmak,,,https://www.wikidata.org/w/index.php?search=Frankenstein%20%281931%29%20%28and%201930s/40s%20Universal%20classic%20monsters%29,Director/creator baseline added,,,,Film
Frankenstein (1931) (and 1930s/40s Universal classic monsters),Film,Mark Kerins,Important or Influential,,1931,Horror; Science fiction; Gothic,Horror; Science fiction; Gothic,James Whale; Tod Browning; Karl Freund; George Waggner; Erle C. Kenton; Robert Siodmak,,,https://www.wikidata.org/w/index.php?search=Frankenstein%20%281931%29%20%28and%201930s/40s%20Universal%20classic%20monsters%29,Director/creator baseline added,,,,Film
Psycho (1960),Film,Rick Worland,Personal Top 10,,1960,Horror; Thriller,Horror; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Psycho%20%281960%29,Director/creator baseline added,,,,Film
Psycho (1960),Film,Rick Worland,Inspired my work,,1960,Horror; Thriller,Horror; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Psycho%20%281960%29,Director/creator baseline added,,,,Film
Psycho (1960),Film,Rick Worland,Important or Influential,,1960,Horror; Thriller,Horror; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Psycho%20%281960%29,Director/creator baseline added,,,,Film
Psycho (1960),Film,Mark Kerins,Inspired my work,,1960,Horror; Thriller,Horror; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Psycho%20%281960%29,Director/creator baseline added,,,,Film
La Grande Illusion,Film,Rick Worland,Personal Top 10,,1937,War; Drama,War; Drama,Jean Renoir,,,https://www.wikidata.org/w/index.php?search=La%20Grande%20Illusion,Director/creator baseline added,,,,Film
2001: A Space Odyssey,Film,Rick Worland,Personal Top 10,,1968,Science fiction; Adventure,Science fiction; Adventure,Stanley Kubrick,,,https://www.wikidata.org/w/index.php?search=2001%3A%20A%20Space%20Odyssey,Director/creator baseline added,,,,Film
2001: A Space Odyssey,Film,Rick Worland,Inspired my work,,1968,Science fiction; Adventure,Science fiction; Adventure,Stanley Kubrick,,,https://www.wikidata.org/w/index.php?search=2001%3A%20A%20Space%20Odyssey,Director/creator baseline added,,,,Film
2001: A Space Odyssey,Film,Mark Kerins,Important or Influential,,1968,Science fiction; Adventure,Science fiction; Adventure,Stanley Kubrick,,,https://www.wikidata.org/w/index.php?search=2001%3A%20A%20Space%20Odyssey,Director/creator baseline added,,,,Film
The Wild Bunch,Film,Rick Worland,Personal Top 10,,1969,Western; Action,Western; Action,Sam Peckinpah,,,https://www.wikidata.org/w/index.php?search=The%20Wild%20Bunch,Director/creator baseline added,,,,Film
The Abominable Dr. Phibes,Film,Rick Worland,Personal Top 10,,1971,Horror; Comedy,Horror; Comedy,Robert Fuest,,,https://www.wikidata.org/w/index.php?search=The%20Abominable%20Dr.%20Phibes,Director/creator baseline added,,,,Film
Amarcord,Film,Rick Worland,Personal Top 10,,1973,Comedy drama; Coming-of-age,Comedy drama; Coming-of-age,Federico Fellini,,,https://www.wikidata.org/w/index.php?search=Amarcord,Director/creator baseline added,,,,Film
Apocalypse Now,Film,Rick Worland,Personal Top 10,,1979,War; Drama,War; Drama,Francis Ford Coppola,,,https://www.wikidata.org/w/index.php?search=Apocalypse%20Now,Director/creator baseline added,,,,Film
Apocalypse Now,Film,Mark Kerins,Important or Influential,,1979,War; Drama,War; Drama,Francis Ford Coppola,,,https://www.wikidata.org/w/index.php?search=Apocalypse%20Now,Director/creator baseline added,,,,Film
The King of Comedy,Film,Rick Worland,Personal Top 10,,1982,Black comedy; Drama; Satire,Black comedy; Drama; Satire,Martin Scorsese,,,https://www.wikidata.org/w/index.php?search=The%20King%20of%20Comedy,Director/creator baseline added,,,,Film
"Three Stooges shorts (1930s/40s) (""Spread out!"")",Film,Rick Worland,Inspired my work,,1930s-1940s,Comedy; Short; Slapstick,Comedy; Short; Slapstick,Jules White; Del Lord; Edward Bernds,,,https://www.wikidata.org/w/index.php?search=Three%20Stooges%20shorts%20%281930s/40s%29%20%28%22Spread%20out%21%22%29,Director/creator baseline added,,,,Film
Planet of the Apes (original series 1968-73),Film,Rick Worland,Inspired my work,,1968-1973,Science fiction; Adventure,Science fiction; Adventure,Franklin J. Schaffner; Ted Post; Don Taylor; J. Lee Thompson,,,https://www.wikidata.org/w/index.php?search=Planet%20of%20the%20Apes%20%28original%20series%201968-73%29,Director/creator baseline added,,,,Film
The Searchers,Film,Rick Worland,Inspired my work,,1956,Western; Drama,Western; Drama,John Ford,,,https://www.wikidata.org/w/index.php?search=The%20Searchers,Director/creator baseline added,,,,Film
The Big Sleep,Film,Rick Worland,Inspired my work,,1946,Film noir; Mystery; Crime,Film noir; Mystery; Crime,Howard Hawks,,,https://www.wikidata.org/w/index.php?search=The%20Big%20Sleep,Director/creator baseline added,,,,Film
Yojimbo,Film,Rick Worland,Inspired my work,,1961,Samurai; Action; Drama,Samurai; Action; Drama,Akira Kurosawa,,,https://www.wikidata.org/w/index.php?search=Yojimbo,Director/creator baseline added,,,,Film
The Last Picture Show,Film,Rick Worland,Inspired my work,,1971,Drama; Coming-of-age,Drama; Coming-of-age,Peter Bogdanovich,,,https://www.wikidata.org/w/index.php?search=The%20Last%20Picture%20Show,Director/creator baseline added,,,,Film
Annie Hall,Film,Rick Worland,Inspired my work,,1977,Romantic comedy,Romantic comedy,Woody Allen,,,https://www.wikidata.org/w/index.php?search=Annie%20Hall,Director/creator baseline added,,,,Film
My Darling Clementine,Film,Rick Worland,Inspired my work,,1946,Western; Drama,Western; Drama,John Ford,,,https://www.wikidata.org/w/index.php?search=My%20Darling%20Clementine,Director/creator baseline added,,,,Film
The Pawnshop (Chaplin),Film,Rick Worland,Important or Influential,,1916,Comedy; Short; Silent,Comedy; Short; Silent,Charlie Chaplin,,,https://www.wikidata.org/w/index.php?search=The%20Pawnshop%20%28Chaplin%29,Director/creator baseline added,,,,Film
Easy Street (Chaplin),Film,Rick Worland,Important or Influential,,1917,Comedy; Short; Silent,Comedy; Short; Silent,Charlie Chaplin,,,https://www.wikidata.org/w/index.php?search=Easy%20Street%20%28Chaplin%29,Director/creator baseline added,,,,Film
The Immigrant (Chaplin),Film,Rick Worland,Important or Influential,,1917,Comedy; Short; Silent,Comedy; Short; Silent,Charlie Chaplin,,,https://www.wikidata.org/w/index.php?search=The%20Immigrant%20%28Chaplin%29,Director/creator baseline added,,,,Film
A Dog's Life (Chaplin),Film,Rick Worland,Important or Influential,,1918,Comedy; Short; Silent,Comedy; Short; Silent,Charlie Chaplin,,,https://www.wikidata.org/w/index.php?search=A%20Dog%27s%20Life%20%28Chaplin%29,Director/creator baseline added,,,,Film
The Gold Rush (Chaplin),Film,Rick Worland,Important or Influential,,1925,Comedy; Adventure; Silent,Comedy; Adventure; Silent,Charlie Chaplin,,,https://www.wikidata.org/w/index.php?search=The%20Gold%20Rush%20%28Chaplin%29,Director/creator baseline added,,,,Film
Cops (Keaton),Film,Rick Worland,Important or Influential,,1922,Comedy; Short; Silent,Comedy; Short; Silent,Buster Keaton; Edward F. Cline,,,https://www.wikidata.org/w/index.php?search=Cops%20%28Keaton%29,Director/creator baseline added,,,,Film
One Week (Keaton),Film,Rick Worland,Important or Influential,,1920,Comedy; Short; Silent,Comedy; Short; Silent,Buster Keaton; Edward F. Cline,,,https://www.wikidata.org/w/index.php?search=One%20Week%20%28Keaton%29,Director/creator baseline added,,,,Film
"Sherlock, Jr. (Keaton)",Film,Rick Worland,Important or Influential,,1924,Comedy; Fantasy; Silent,Comedy; Fantasy; Silent,Buster Keaton,,,https://www.wikidata.org/w/index.php?search=Sherlock%2C%20Jr.%20%28Keaton%29,Director/creator baseline added,,,,Film
Our Hospitality (Keaton),Film,Rick Worland,Important or Influential,,1923,Comedy; Silent,Comedy; Silent,Buster Keaton; John G. Blystone,,,https://www.wikidata.org/w/index.php?search=Our%20Hospitality%20%28Keaton%29,Director/creator baseline added,,,,Film
The Birth of a Nation,Film,Rick Worland,Important or Influential,,1915,Epic; Historical; Silent,Epic; Historical; Silent,D. W. Griffith,,,https://www.wikidata.org/w/index.php?search=The%20Birth%20of%20a%20Nation,Director/creator baseline added,,,,Film
It Happened One Night,Film,Rick Worland,Important or Influential,,1934,Romantic comedy,Romantic comedy,Frank Capra,,,https://www.wikidata.org/w/index.php?search=It%20Happened%20One%20Night,Director/creator baseline added,,,,Film
Sullivan's Travels,Film,Rick Worland,Important or Influential,,1941,Comedy; Satire; Road movie,Comedy; Satire; Road movie,Preston Sturges,,,https://www.wikidata.org/w/index.php?search=Sullivan%27s%20Travels,Director/creator baseline added,,,,Film
To Have and Have Not,Film,Rick Worland,Important or Influential,,1944,Adventure; Romance; War,Adventure; Romance; War,Howard Hawks,,,https://www.wikidata.org/w/index.php?search=To%20Have%20and%20Have%20Not,Director/creator baseline added,,,,Film
Bicycle Theives,Film,Rick Worland,Important or Influential,,1948,Drama; Italian neorealism,Drama; Italian neorealism,Vittorio De Sica,,,https://www.wikidata.org/w/index.php?search=Bicycle%20Theives,Director/creator baseline added,,,,Film
On the Waterfront,Film,Rick Worland,Important or Influential,,1954,Crime; Drama,Crime; Drama,Elia Kazan,,,https://www.wikidata.org/w/index.php?search=On%20the%20Waterfront,Director/creator baseline added,,,,Film
Touch of Evil,Film,Rick Worland,Important or Influential,,1958,Film noir; Crime; Thriller,Film noir; Crime; Thriller,Orson Welles,,,https://www.wikidata.org/w/index.php?search=Touch%20of%20Evil,Director/creator baseline added,,,,Film
Breathless,Film,Rick Worland,Important or Influential,,1960,Crime; Drama; French New Wave,Crime; Drama; French New Wave,Jean-Luc Godard,,,https://www.wikidata.org/w/index.php?search=Breathless,Director/creator baseline added,,,,Film
Rashomon,Film,Rick Worland,Important or Influential,,1950,Drama; Mystery; Period,Drama; Mystery; Period,Akira Kurosawa,,,https://www.wikidata.org/w/index.php?search=Rashomon,Director/creator baseline added,,,,Film
Bonnie & Clyde,Film,Rick Worland,Important or Influential,,1967,Crime; Biography; Drama,Crime; Biography; Drama,Arthur Penn,,,https://www.wikidata.org/w/index.php?search=Bonnie%20%26%20Clyde,Director/creator baseline added,,,,Film
The Godfather,Film,Rick Worland,Important or Influential,,1972,Crime; Drama,Crime; Drama,Francis Ford Coppola,,,https://www.wikidata.org/w/index.php?search=The%20Godfather,Director/creator baseline added,,,,Film
The Matrix,Film,Mark Kerins,Personal Top 10,,1999,Science fiction; Action; Cyberpunk,Science fiction; Action; Cyberpunk,Lana Wachowski; Lilly Wachowski,,,https://www.wikidata.org/w/index.php?search=The%20Matrix,Director/creator baseline added,,,,Film
The Matrix,Film,Mark Kerins,Inspired my work,,1999,Science fiction; Action; Cyberpunk,Science fiction; Action; Cyberpunk,Lana Wachowski; Lilly Wachowski,,,https://www.wikidata.org/w/index.php?search=The%20Matrix,Director/creator baseline added,,,,Film
Ghostbusters,Film,Mark Kerins,Personal Top 10,,1984,Comedy; Fantasy; Science fiction,Comedy; Fantasy; Science fiction,Ivan Reitman,,,https://www.wikidata.org/w/index.php?search=Ghostbusters,Director/creator baseline added,,,,Film
Moulin Rouge!,Film,Mark Kerins,Personal Top 10,,2001,Musical; Romance; Drama,Musical; Romance; Drama,Baz Luhrmann,,,https://www.wikidata.org/w/index.php?search=Moulin%20Rouge%21,Director/creator baseline added,,,,Film
Ferris Bueller's Day Off,Film,Mark Kerins,Personal Top 10,,1986,Comedy; Coming-of-age,Comedy; Coming-of-age,John Hughes,,,https://www.wikidata.org/w/index.php?search=Ferris%20Bueller%27s%20Day%20Off,Director/creator baseline added,,,,Film
Sunrise (1927),Film,Mark Kerins,Personal Top 10,,1927,Romance; Drama; Silent,Romance; Drama; Silent,F. W. Murnau,,,https://www.wikidata.org/w/index.php?search=Sunrise%20%281927%29,Director/creator baseline added,,,,Film
Monty Python and the Holy Grail,Film,Mark Kerins,Personal Top 10,,1975,Comedy; Fantasy; Parody,Comedy; Fantasy; Parody,Terry Gilliam; Terry Jones,,,https://www.wikidata.org/w/index.php?search=Monty%20Python%20and%20the%20Holy%20Grail,Director/creator baseline added,,,,Film
Inception,Film,Mark Kerins,Personal Top 10,,2010,Science fiction; Action; Thriller,Science fiction; Action; Thriller,Christopher Nolan,,,https://www.wikidata.org/w/index.php?search=Inception,Director/creator baseline added,,,,Film
Aliens,Film,Mark Kerins,Personal Top 10,,1986,Science fiction; Action; Horror,Science fiction; Action; Horror,James Cameron,,,https://www.wikidata.org/w/index.php?search=Aliens,Director/creator baseline added,,,,Film
Supersize Me,Film,Mark Kerins,Inspired my work,,2004,Documentary,Documentary,Morgan Spurlock,,,https://www.wikidata.org/w/index.php?search=Supersize%20Me,Director/creator baseline added,,,,Documentary Film
Magnolia,Film,Mark Kerins,Inspired my work,,1999,Drama; Ensemble,Drama; Ensemble,Paul Thomas Anderson,,,https://www.wikidata.org/w/index.php?search=Magnolia,Director/creator baseline added,,,,Film
Saving Private Ryan,Film,Mark Kerins,Inspired my work,,1998,War; Drama,War; Drama,Steven Spielberg,,,https://www.wikidata.org/w/index.php?search=Saving%20Private%20Ryan,Director/creator baseline added,,,,Film
Transformers (live-action films 2007-2017),Film,Mark Kerins,Inspired my work,,2007-2017,Science fiction; Action,Science fiction; Action,Michael Bay,,,https://www.wikidata.org/w/index.php?search=Transformers%20%28live-action%20films%202007-2017%29,Director/creator baseline added,,,,Film
American Beauty,Film,Mark Kerins,Inspired my work,,1999,Drama; Satire,Drama; Satire,Sam Mendes,,,https://www.wikidata.org/w/index.php?search=American%20Beauty,Director/creator baseline added,,,,Film
The Rock,Film,Mark Kerins,Inspired my work,,1996,Action; Thriller,Action; Thriller,Michael Bay,,,https://www.wikidata.org/w/index.php?search=The%20Rock,Director/creator baseline added,,,,Film
Star Wars (1977),Film,Mark Kerins,Important or Influential,,1977,Science fiction; Fantasy; Adventure,Science fiction; Fantasy; Adventure,George Lucas,,,https://www.wikidata.org/w/index.php?search=Star%20Wars%20%281977%29,Director/creator baseline added,,,,Film
Avengers: Infinity War,Film,Mark Kerins,Important or Influential,,2018,Superhero; Action; Science fiction,Superhero; Action; Science fiction,Anthony Russo; Joe Russo,,,https://www.wikidata.org/w/index.php?search=Avengers%3A%20Infinity%20War,Director/creator baseline added,,,,Film
Avengers: Endgame,Film,Mark Kerins,Important or Influential,,2019,Superhero; Action; Science fiction,Superhero; Action; Science fiction,Anthony Russo; Joe Russo,,,https://www.wikidata.org/w/index.php?search=Avengers%3A%20Endgame,Director/creator baseline added,,,,Film
Titanic,Film,Mark Kerins,Important or Influential,,1997,Romance; Drama; Disaster,Romance; Drama; Disaster,James Cameron,,,https://www.wikidata.org/w/index.php?search=Titanic,Director/creator baseline added,,,,Film
The Wizard of Oz,Film,Mark Kerins,Important or Influential,,1939,Fantasy; Musical; Family,Fantasy; Musical; Family,Victor Fleming,,,https://www.wikidata.org/w/index.php?search=The%20Wizard%20of%20Oz,Director/creator baseline added,,,,Film
Pulp Fiction,Film,Mark Kerins,Important or Influential,,1994,Crime; Black comedy,Crime; Black comedy,Quentin Tarantino,,,https://www.wikidata.org/w/index.php?search=Pulp%20Fiction,Director/creator baseline added,,,,Film
Alien,Film,Mark Kerins,Important or Influential,,1979,Science fiction; Horror,Science fiction; Horror,Ridley Scott,,,https://www.wikidata.org/w/index.php?search=Alien,Director/creator baseline added,,,,Film
Toy Story,Film,Mark Kerins,Important or Influential,,1995,Animation; Comedy; Adventure,Animation; Comedy; Adventure,John Lasseter,,,https://www.wikidata.org/w/index.php?search=Toy%20Story,Director/creator baseline added,,,,Animated Film
Raiders of the Lost Ark,Film,Mark Kerins,Important or Influential,,1981,Adventure; Action,Adventure; Action,Steven Spielberg,,,https://www.wikidata.org/w/index.php?search=Raiders%20of%20the%20Lost%20Ark,Director/creator baseline added,,,,Film
Jaws,Film,Mark Kerins,Important or Influential,,1975,Thriller; Horror; Adventure,Thriller; Horror; Adventure,Steven Spielberg,,,https://www.wikidata.org/w/index.php?search=Jaws,Director/creator baseline added,,,,Film
Nosferatu (1922),Film,Mark Kerins,Important or Influential,,1922,Horror; German Expressionism; Silent,Horror; German Expressionism; Silent,F. W. Murnau,,,https://www.wikidata.org/w/index.php?search=Nosferatu%20%281922%29,Director/creator baseline added,,,,Film
The Blair Witch Project,Film,Mark Kerins,Important or Influential,,1999,Horror; Found footage,Horror; Found footage,Daniel Myrick; Eduardo Sánchez,,,https://www.wikidata.org/w/index.php?search=The%20Blair%20Witch%20Project,Director/creator baseline added,,,,Film
The Terminator,Film,Mark Kerins,Important or Influential,,1984,Science fiction; Action; Thriller,Science fiction; Action; Thriller,James Cameron,,,https://www.wikidata.org/w/index.php?search=The%20Terminator,Director/creator baseline added,,,,Film
30 for 30 ESPN: SMU Pony Express,Television,David Sedman,Important or Influential,,2010,Documentary; Sports,Documentary; Sports; ESPN,Thaddeus D. Matula,,,https://www.wikidata.org/w/index.php?search=30%20for%2030%20ESPN%3A%20SMU%20Pony%20Express,TV metadata baseline added; verify ongoing-series season counts as of 2026,1,2010,ESPN,Documentary Series
30 Rock,Television,Jennifer Prediger,Important or Influential,,2006,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; NBC,Tina Fey,,,https://www.wikidata.org/w/index.php?search=30%20Rock,TV metadata baseline added; verify ongoing-series season counts as of 2026,7,2006-2013,NBC,TV Series
30 Rock,Television,Mark Kerins,Important or Influential,,2006,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; NBC,Tina Fey,,,https://www.wikidata.org/w/index.php?search=30%20Rock,TV metadata baseline added; verify ongoing-series season counts as of 2026,7,2006-2013,NBC,TV Series
60 Minutes,Television,Mark Kerins,Important or Influential,,1968,News magazine; Journalism,News magazine; Journalism; CBS,Don Hewitt,,,https://www.wikidata.org/w/index.php?search=60%20Minutes,TV metadata baseline added; verify ongoing-series season counts as of 2026,58,1968-present,CBS,TV Series
Action,Television,David Sedman,Important or Influential,,1999,Comedy; Satire,Comedy; Satire; Fox,Chris Thompson,,,https://www.wikidata.org/w/index.php?search=Action,TV metadata baseline added; verify ongoing-series season counts as of 2026,1,1999,Fox,TV Series
All in the Family,Television,Rick Worland,Important or Influential,,1971,Sitcom; Comedy; Social satire,Sitcom; Comedy; Social satire; CBS,Norman Lear; Bud Yorkin,,,https://www.wikidata.org/w/index.php?search=All%20in%20the%20Family,TV metadata baseline added; verify ongoing-series season counts as of 2026,9,1971-1979,CBS,TV Series
All My Children,Television,Sean Griffin,Inspired my work,,1970,Soap opera; Drama,Soap opera; Drama; ABC; The Online Network,Agnes Nixon,,,https://www.wikidata.org/w/index.php?search=All%20My%20Children,TV metadata baseline added; verify ongoing-series season counts as of 2026,43,1970-2011; 2013,ABC; The Online Network,TV Series
American Chronicles,Television,David Sedman,Personal Top 10,,1990,Documentary,Documentary; Fox,Mark Frost,,,https://www.wikidata.org/w/index.php?search=American%20Chronicles,TV metadata baseline added; verify ongoing-series season counts as of 2026,1,1990,Fox,Documentary Series
Arrested Development,Television,David Sedman,Personal Top 10,,2003,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; Fox; Netflix,Mitchell Hurwitz,,,https://www.wikidata.org/w/index.php?search=Arrested%20Development,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2003-2006; 2013; 2018-2019,Fox; Netflix,TV Series
Arrested Development,Television,David Sedman,Important or Influential,,2003,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; Fox; Netflix,Mitchell Hurwitz,,,https://www.wikidata.org/w/index.php?search=Arrested%20Development,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2003-2006; 2013; 2018-2019,Fox; Netflix,TV Series
Arrested Development,Television,Jennifer Prediger,Important or Influential,,2003,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; Fox; Netflix,Mitchell Hurwitz,,,https://www.wikidata.org/w/index.php?search=Arrested%20Development,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2003-2006; 2013; 2018-2019,Fox; Netflix,TV Series
Arrested Development,Television,Mark Kerins,Important or Influential,,2003,Comedy; Sitcom; Satire,Comedy; Sitcom; Satire; Fox; Netflix,Mitchell Hurwitz,,,https://www.wikidata.org/w/index.php?search=Arrested%20Development,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2003-2006; 2013; 2018-2019,Fox; Netflix,TV Series
Atlanta,Television,Jennifer Prediger,Personal Top 10,,2016,Comedy drama; Satire; Surrealism,Comedy drama; Satire; Surrealism; FX,Donald Glover,,,https://www.wikidata.org/w/index.php?search=Atlanta,TV metadata baseline added; verify ongoing-series season counts as of 2026,4,2016-2022,FX,TV Series
Batman (1966),Television,Sean Griffin,Inspired my work,,1966,Action; Adventure; Comedy; Superhero,Action; Adventure; Comedy; Superhero; ABC,William Dozier,,,https://www.wikidata.org/w/index.php?search=Batman%20%281966%29,TV metadata baseline added; verify ongoing-series season counts as of 2026,3,1966-1968,ABC,TV Series
Batman (1966),Television,Rick Worland,Important or Influential,,1966,Action; Adventure; Comedy; Superhero,Action; Adventure; Comedy; Superhero; ABC,William Dozier,,,https://www.wikidata.org/w/index.php?search=Batman%20%281966%29,TV metadata baseline added; verify ongoing-series season counts as of 2026,3,1966-1968,ABC,TV Series
Batman: The Animated Series,Television,David Sedman,Important or Influential,,1992,Animation; Action; Crime; Superhero,Animation; Action; Crime; Superhero; Fox Kids,Bruce Timm; Eric Radomski,,,https://www.wikidata.org/w/index.php?search=Batman%3A%20The%20Animated%20Series,TV metadata baseline added; verify ongoing-series season counts as of 2026,4,1992-1995,Fox Kids,Animated Series
Battlestar Galactica (2004 reboot),Television,Mark Kerins,Personal Top 10,,2004,Science fiction; Drama; Military,Science fiction; Drama; Military; Sci Fi Channel,Ronald D. Moore; David Eick,,,https://www.wikidata.org/w/index.php?search=Battlestar%20Galactica%20%282004%20reboot%29,TV metadata baseline added; verify ongoing-series season counts as of 2026,4,2004-2009,Sci Fi Channel,TV Series
Battlestar Galactica (2004 reboot),Television,Mark Kerins,Important or Influential,,2004,Science fiction; Drama; Military,Science fiction; Drama; Military; Sci Fi Channel,Ronald D. Moore; David Eick,,,https://www.wikidata.org/w/index.php?search=Battlestar%20Galactica%20%282004%20reboot%29,TV metadata baseline added; verify ongoing-series season counts as of 2026,4,2004-2009,Sci Fi Channel,TV Series
Better Call Saul,Television,Jennifer Prediger,Important or Influential,,2015,Crime; Drama; Black comedy,Crime; Drama; Black comedy; AMC,Vince Gilligan; Peter Gould,,,https://www.wikidata.org/w/index.php?search=Better%20Call%20Saul,TV metadata baseline added; verify ongoing-series season counts as of 2026,6,2015-2022,AMC,TV Series
Black Mirror,Television,Rick Worland,Important or Influential,,2011,Science fiction; Anthology; Drama; Satire,Science fiction; Anthology; Drama; Satire; Channel 4; Netflix,Charlie Brooker,,,https://www.wikidata.org/w/index.php?search=Black%20Mirror,TV metadata baseline added; verify ongoing-series season counts as of 2026,7,2011-present,Channel 4; Netflix,TV Series
Black Mirror,Television,Mark Kerins,Inspired my work,,2011,Science fiction; Anthology; Drama; Satire,Science fiction; Anthology; Drama; Satire; Channel 4; Netflix,Charlie Brooker,,,https://www.wikidata.org/w/index.php?search=Black%20Mirror,TV metadata baseline added; verify ongoing-series season counts as of 2026,7,2011-present,Channel 4; Netflix,TV Series
Bojack Horseman,Television,David Sedman,Important or Influential,,2014,Animation; Comedy drama; Satire,Animation; Comedy drama; Satire; Netflix,Raphael Bob-Waksberg,,,https://www.wikidata.org/w/index.php?search=Bojack%20Horseman,TV metadata baseline added; verify ongoing-series season counts as of 2026,6,2014-2020,Netflix,Animated Series
Breaking Bad,Television,Sean Griffin,Personal Top 10,,2008,Crime; Drama; Thriller,Crime; Drama; Thriller; AMC,Vince Gilligan,,,https://www.wikidata.org/w/index.php?search=Breaking%20Bad,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2008-2013,AMC,TV Series
Breaking Bad,Television,Mark Kerins,Important or Influential,,2008,Crime; Drama; Thriller,Crime; Drama; Thriller; AMC,Vince Gilligan,,,https://www.wikidata.org/w/index.php?search=Breaking%20Bad,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2008-2013,AMC,TV Series
Broad City,Television,Jennifer Prediger,Important or Influential,,2014,Comedy; Sitcom,Comedy; Sitcom; Comedy Central,Ilana Glazer; Abbi Jacobson,,,https://www.wikidata.org/w/index.php?search=Broad%20City,TV metadata baseline added; verify ongoing-series season counts as of 2026,5,2014-2019,Comedy Central,TV Series
